PJ-ID,EXP-ID,"Cat1.actual, mg","Cat2.actual, mg","Cat3.actual, mg","Cat4.actual, mg","Cat5.actual, mg","Ion1.actual, ƒÊL","Ion2.actual, ƒÊL","cOct1.actual, ƒÊL","CO2, MPa","H2, MPa",Ald_Yield
Round-004,4071,1.9,0,8.3,0,0,400.42,0,583.4,5,3,8.307071108
Round-004,6713,0,0,8.3,0,6.1,400.42,0,583.4,5,3,0.551742606
Round-004,4281,1.9,0,0,0,0,400.42,60.24,583.4,5,3,1.388633646
Round-004,2491,3.8,0,0,0,6.2,350.65,0,583.4,5,3,4.08768326
Round-004,6723,0,0,8.2,0,0,400.42,60.24,583.4,5,3,0.469389936
Round-004,6063,0,2.3,0,0,0,400.42,60.24,583.4,5,3,0.283011985
Round-004,4063,1.9,0,8.3,0,6.1,350.65,0,583.4,5,3,7.557000317
Round-004,2456,3.9,0,0,2.3,0,350.65,0,583.4,5,3,2.755312816
Round-004,3613,1.9,2.3,0,0,6.1,350.65,0,583.4,5,3,8.158580796
Round-004,2344,3.8,0,8.3,0,0,350.65,0,583.4,5,3,7.79848876
Round-004,4219,1.9,0,0,2.3,6.2,350.65,0,583.4,5,3,9.342783113
Round-004,707,7.7,0,0,0,0,300.99,0,583.4,5,3,2.353836123
Round-004,6,15.4,0,0,2.3,0,52.56,0,583.4,5,3,2.537991006
Round-004,6941,0,0,0,2.3,0,0,519.41,583.4,5,3,3.339689978
Round-004,6944,0,0,0,0,49.6,102.23,0,583.4,5,3,0.385457255
Round-004,4080,1.9,0,0,18.6,0,52.56,0,583.4,5,3,2.208973882
Round-004,8,15.3,0,0,0,6.2,52.56,0,583.4,5,3,0.843471892
Round-004,6078,0,0,66.2,0,0,102.23,0,583.4,5,3,1.33296988
Round-004,45,13.4,0,0,0,0,151.99,0,583.4,5,3,2.23391101
Round-004,6734,0,0,0,18.7,6.2,52.56,0,583.4,5,3,2.73406997
Round-004,4298,0,18.4,0,0,0,102.23,0,583.4,5,3,0.364854316
Round-004,4236,1.9,0,0,0,49.5,52.56,0,583.4,5,3,4.32839111
Round-004,4,15.3,0,8.4,0,0,52.56,0,583.4,5,3,0.693414531
Round-005,4219,1.9,0,0,2.3,6.2,350.65,0,583.4,5,3,10.63030782
Round-005,3613,1.9,2.3,0,0,6.1,350.65,0,583.4,5,3,12.70537787
Round-005,3466,1.9,2.3,8.3,0,0,350.65,0,583.4,5,3,10.22839884
Round-005,4263,1.9,0,0,0,12.4,350.65,0,583.4,5,3,9.913223301
Round-005,5845,0,2.3,8.3,0,6.1,350.65,0,583.4,5,3,11.49235456
Round-005,4028,1.9,0,8.3,2.4,0,350.65,0,583.4,5,3,7.793095555
Round-005,4272,1.9,0,0,0,6.2,350.65,60.24,583.4,5,3,9.996307027
Round-005,6045,0,2.3,0,0,12.4,350.65,0,583.4,5,3,11.56143666
Round-005,3571,2,2.3,0,2.3,6.1,300.99,0,583.4,5,3,10.39357653
Round-005,3916,1.9,0,16.5,0,0,350.65,0,583.4,5,3,4.118358343
Round-005,3606,2,2.3,0,0,12.4,300.99,0,583.4,5,3,10.18790345
Round-005,6001,0,2.3,0,2.3,6.1,350.65,0,583.4,5,3,11.84562359
